BALANCE_AS_OF_DATE,BALANCE_AS_OF_DAY,PLANT_NAME,MATERIAL_NAME,UNRESRICTED_STOCK,STOCK_SELL_VALUE,SHELF_LIFE_IN_MONTH,SHELF_LIFE_IN_DAYS,AGING_DAYS,IS_OVER_SHELFLIFE,DAYS_TO_EXPIRE,LOSS_VALUE_PERCENT,LOSS_VALUE(OCCUR),LOSS_VALUE,PREVENTABLE
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0341,90750,111450075,8,240,337.00,YES,-97,25,"27,862,518.75","27,862,518.75", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,90700,111388670,8,240,276.00,YES,-36,25,"27,847,167.50","27,847,167.50", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0341,90700,111388670,8,240,306.00,YES,-66,25,"27,847,167.50","27,847,167.50",
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,89375,109761438,8,240,245.00,YES,-5,25,"27,440,359.50","27,440,359.50", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,89350,109730735,8,240,245.00,YES,-5,25,"27,432,683.75","27,432,683.75", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0341,88000,108072800,8,240,337.00,YES,-97,25,"27,018,200.00","27,018,200.00", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,88000,108072800,8,240,245.00,YES,-5,25,"27,018,200.00","27,018,200.00", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0341,87750,107765775,8,240,306.00,YES,-66,25,"26,941,443.75","26,941,443.75", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,87750,107765775,8,240,276.00,YES,-36,25,"26,941,443.75","26,941,443.75", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,86750,106537675,8,240,276.00,YES,-36,25,"26,634,418.75","26,634,418.75", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0341,86625,106384163,8,240,337.00,YES,-97,25,"26,596,040.75","26,596,040.75", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,86625,106384163,8,240,245.00,YES,-5,25,"26,596,040.75","26,596,040.75", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,86600,106353460,8,240,245.00,YES,-5,25,"26,588,365.00","26,588,365.00", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,86550,106292055,8,240,276.00,YES,-36,25,"26,573,013.75","26,573,013.75", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,86550,106292055,8,240,245.00,YES,-5,25,"26,573,013.75","26,573,013.75", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0341,85250,104695525,8,240,337.00,YES,-97,25,"26,173,881.25","26,173,881.25", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,85250,104695525,8,240,276.00,YES,-36,25,"26,173,881.25","26,173,881.25", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,85250,104695525,8,240,276.00,YES,-36,25,"26,173,881.25","26,173,881.25", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,85250,104695525,8,240,245.00,YES,-5,25,"26,173,881.25","26,173,881.25", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0341,83875,103006888,8,240,337.00,YES,-97,25,"25,751,722.00","25,751,722.00", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,83850,102976185,8,240,276.00,YES,-36,25,"25,744,046.25","25,744,046.25", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,83850,102976185,8,240,245.00,YES,-5,25,"25,744,046.25","25,744,046.25", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0341,83675,102761268,8,240,306.00,YES,-66,25,"25,690,317.00","25,690,317.00", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,83675,102761268,8,240,276.00,YES,-36,25,"25,690,317.00","25,690,317.00", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,74250,91186425,8,240,245.00,YES,-5,25,"22,796,606.25","22,796,606.25", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0341,67375,82743238,8,240,337.00,YES,-97,25,"20,685,809.50","20,685,809.50", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0341,67375,82743238,8,240,337.00,YES,-97,25,"20,685,809.50","20,685,809.50", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0341,67375,82743238,8,240,306.00,YES,-66,25,"20,685,809.50","20,685,809.50", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0341,67375,82743238,8,240,306.00,YES,-66,25,"20,685,809.50","20,685,809.50", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,67375,82743238,8,240,276.00,YES,-36,25,"20,685,809.50","20,685,809.50", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,67375,82743238,8,240,276.00,YES,-36,25,"20,685,809.50","20,685,809.50", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0341,66000,81054600,8,240,337.00,YES,-97,25,"20,263,650.00","20,263,650.00", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0341,65975,81023898,8,240,306.00,YES,-66,25,"20,255,974.50","20,255,974.50", -   
